product_id,Name-EN,Name-JP,Net Weight,Category,Nutrition,Ingredients
1,AKAI KITSUNE UDON EAST,赤いきつねうどん東,96 G,CUP NOODLES,"{""Per"": ""96 g"", ""Energy"": ""412 kcal"", ""Protein"": ""9.9 g"", ""Fat"": ""18.0 g"", ""Carbohydrate"": ""52.6 g"", ""Salt equivalent"": ""5.80 g""}","Fried noodles (wheat flour (made in Japan), vegetable oil and fat, starch, salt, vegetable protein, dried yeast, egg white), kayaku (seasoned fried tofu, egg, fish cake), seasoning (salt, soy sauce, bonito powder, protein hydrolysate, kelp powder, spices, powdered sesame paste, leek, sugar, vegetable oil, bonito extract)/processed starch, seasoning (amino acid, etc.), sodium phosphate, calcium carbonate, caramel color, lecithin, polysaccharide thickener, antioxidant (vitamin E), benikoji dye, vitamin B2, vitamin B1, carotene dye, (Some ingredients: wheat, eggs, milk ingredients, soybeans, gelatin)"
2,MIDORI NO TANUKI TENSOBA EAST,緑のたぬき天そば東,101 G,CUP NOODLES,"{""Per"": ""101 g"", ""Energy"": ""482 kcal"", ""Protein"": ""11.8 g"", ""Fat"": ""24.3 g"", ""Carbohydrate"": ""53.9 g"", ""Salt equivalent"": ""5.80 g""}","Fried noodles (wheat flour (made in Japan), buckwheat flour, vegetable oil and fat, vegetable protein, salt, yam, egg white), kayaku (small shrimp tempura, fish cake), seasoning (sugar, salt, soy sauce, protein hydrolysate, dried bonito powder, spices, dried bonito powder, scallions, aromatic oil) / processed starch, seasoning ( Amino acid, etc.), calcium carbonate, caramel color, phosphate (Na), polysaccharide thickener, lecithin, antioxidant (vitamin E), gardenia color, benikoji color, flavor, vitamin B2, vitamin B1, carotene color, spice extract, (Some ingredients: shrimp, wheat, buckwheat, egg, milk ingredients, soybean, pork, yam Gelatin)"
3,SHIROI CHIKARA MOCHI UDON,白い力もちうどん,109 G,CUP NOODLES,"{""Per"": ""109 g"", ""Energy"": ""425 kcal"", ""Protein"": ""8.3 g"", ""Fat"": ""15.5 g"", ""Carbohydrate"": ""63.0 g"", ""Salt equivalent"": ""4.70 g""}","Fried noodles (wheat flour (made in Japan), vegetable oil and fat, starch, salt, vegetable protein, dried yeast, egg white), kayaku (glutinous rice cake, seasoned deep-fried tofu, fried bean curd, fish cake), seasoning (salt, sugar, soy sauce, seafood extract, kelp powder, spices, green onion, protein hydrolysate, chicken extract, vegetable oil) / processed Starch, seasoning (amino acid, etc.), sodium phosphate, calcium carbonate, lecithin, caramel color, polysaccharide thickener, antioxidant (vitamin E), acidifier, safflower color, vitamin B2, vitamin B1, carotene color"
4,JAPANESE BLACK TEA UNSWEETENED,和の紅茶無糖アイスティー,500 ML,TEA,"{""Per"": ""100 ml"", ""Energy"": ""0 kcal"", ""Protein"": ""0.0 g"", ""Fat"": ""0.0 g"", ""Carbohydrate"": ""0.0 g"", ""Salt equivalent"": ""0.02 g""}","Black tea (Kagoshima) / Flavoring, Vitamin C"
5,JUROKUCHA 2L,十六茶 2L,2 L,TEA,"{""Per"": ""100 ml"", ""Energy"": ""0 kcal"", ""Protein"": ""0.0 g"", ""Fat"": ""0.0 g"", ""Carbohydrate"": ""0.0 g"", ""Salt equivalent"": ""0.02 g""}","Adlay (Thai, Laotian, other), barley, habu tea, germinated barley, rice, corn, loquat leaves, dandelion root, burdock root, sweet potato, millet, persimmon leaves, tangerine peel, red beans, jujube, yuzu peel / Vitamin C"
6,JUROKUCHA CAN 275g,十六茶缶275g,275 G,TEA,"{""Per"": ""100 g"", ""Energy"": ""0 kcal"", ""Protein"": ""0.0 g"", ""Fat"": ""0.0 g"", ""Carbohydrate"": ""0.0 g"", ""Salt equivalent"": ""0.02 g""}","Adlay (Thai, Laotian, other), barley, habu tea, germinated barley, rice, corn, loquat leaves, dandelion root, burdock root, sweet potato, millet, persimmon leaves, tangerine peel, red beans, jujube, yuzu peel / Vitamin C"
7,RICH COCOA 190G CAN,濃厚ココア190g缶,190 G,BEVERAGE,"{""Per"": ""100 ml"", ""Energy"": ""30 kcal"", ""Protein"": ""0.6 g"", ""Fat"": ""0.3 g"", ""Carbohydrate"": ""6.2 g"", ""Salt equivalent"": ""0.11 g""}","Sugar (manufactured in Japan and Korea), cocoa powder, whole milk powder, chocolate syrup, dextrin, salt / cellulose, emulsifier, stabilizer (polysaccharide thickener), sweetener (acesulfame K), flavor, (some dairy ingredients included)"
8,WONDA DEEP TASTE BLACK 400G,ワンダコクの深味ブラック400g,400 G,COFFEE,"{""Per"": ""100 g"", ""Energy"": ""0 kcal"", ""Protein"": ""0.0 g"", ""Fat"": ""0.0 g"", ""Carbohydrate"": ""0.7 g"", ""Salt equivalent"": ""0.05 g""}","Coffee (coffee beans (Brazilian, Vietnamese, other)) / flavorings, emulsifiers"
9,WONDA SUNNY MOMENT,ワンダ 晴れのひととき,185 G  ,COFFEE,"{""Per"": ""100 g"", ""Energy"": ""17 kcal"", ""Protein"": ""0.5 g"", ""Fat"": ""0.4 g"", ""Carbohydrate"": ""2.8 g"", ""Salt equivalent"": ""0.10 g""}"," Milk (produced in Japan), coffee, sugar, casein sodium, emulsifier, flavor, antioxidant (vitamin C), sweetener (acesulfame K)"
10,WONDA DEEP TASTE CAFE AU LAIT 260G,ワンダコクの深味カフェオレ260g,260 G ,COFFEE,"{""Per"": ""100 g"", ""Energy"": ""27 kcal"", ""Protein"": ""1.1 g"", ""Fat"": ""0.8 g"", ""Carbohydrate"": ""3.8 g"", ""Salt equivalent"": ""0.13 g""}"," Milk (produced in Japan), coffee, sugar, skimmed milk powder, whole milk powder, dextrin, cream, salt / flavor, emulsifier, casein sodium, sweetener (acesulfame K, sucralose)"
